"ID","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Tax status","In stock?","Stock","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Position"
"","simple","FAK-FTP-V-78118","Fakro FTP-V U3 Tuimeldakraam 78×118","1","1","visible","Blank gelakt grenen, HR++ glas, onderbediening en geïntegreerd ventilatierooster.","Blank gelakt grenen, HR++ glas, onderbediening en geïntegreerd ventilatierooster. Het meest verkochte Fakro dakraam.","taxable","1","","0","0","","","","","1","","309","349","Dakramen > Tuimeldakramen","Bestseller","eigen-bezorging","https://www.lumadak.nl/wp-content/uploads/fakro/ftp-v-78x118.jpg","1"
"","simple","FAK-FTP-V-114118","Fakro FTP-V U3 Tuimeldakraam 114×118","1","0","visible","Groter formaat met dubbele klink.","Groter formaat met dubbele klink. Blank grenen, HR++ glas. Veel licht voor woon- en zolderkamers.","taxable","1","","0","0","","","","","1","","","419","Dakramen > Tuimeldakramen","","eigen-bezorging","https://www.lumadak.nl/wp-content/uploads/fakro/ftp-v-114x118.jpg","2"
"","simple","FAK-FTU-V-78140","Fakro FTU-V U3 Tuimeldakraam 78×140","1","0","visible","Witte PU-coating, vochtbestendig — ideaal voor badkamer of keuken.","Witte PU-coating, vochtbestendig — ideaal voor badkamer of keuken. U-waarde 1,3 W/m²K. Geluidswering 32 dB.","taxable","1","","0","0","","","","","1","","","489","Dakramen > Tuimeldakramen","Vochtruimtes","eigen-bezorging","https://www.lumadak.nl/wp-content/uploads/fakro/ftu-v-78x140.jpg","3"
"","simple","FAK-FTU-V-5598","Fakro FTU-V U3 Tuimeldakraam 55×98","1","0","visible","Compacte maat met witte onderhoudsvriendelijke afwerking.","Compacte maat met witte onderhoudsvriendelijke afwerking. FSC-gecertificeerd hout, HR++ glas.","taxable","1","","0","0","","","","","1","","","329","Dakramen > Tuimeldakramen","","eigen-bezorging","https://www.lumadak.nl/wp-content/uploads/fakro/ftu-v-55x98.jpg","4"
"","simple","FAK-PTP-V-78118","Fakro PTP-V U3 Kunststof Dakraam 78×118","1","0","visible","Volledig onderhoudsvrij PVC van gerecycled kunststof.","Volledig onderhoudsvrij PVC van gerecycled kunststof. Perfect voor vochtige ruimtes, nooit schilderen.","taxable","1","","0","0","","","","","1","","359","399","Dakramen > Tuimeldakramen","Onderhoudsvrij","eigen-bezorging","https://www.lumadak.nl/wp-content/uploads/fakro/ptp-v-78x118.jpg","5"
"","simple","FAK-FTUVC-66118","Fakro FTU-V/C P2 Retro Dakraam 66×118","1","0","visible","Klassieke uitstraling met roedeverdeling.","Klassieke uitstraling met roedeverdeling. Voor boerderijen en monumentale panden. Politiekeurmerk P2.","taxable","1","","0","0","","","","","1","","","579","Dakramen > Tuimeldakramen","Klassiek","eigen-bezorging","https://www.lumadak.nl/wp-content/uploads/fakro/ftu-vc-66x118.jpg","6"
"","simple","FAK-EZV-78118","Fakro Origineel Gootstuk EZV 78×118","1","0","visible","Origineel Fakro gootstuk voor pannendaken.","Origineel Fakro gootstuk voor pannendaken. Noodzakelijk voor correcte, lekvrije montage. Aluminium.","taxable","1","","0","0","","","","","1","","","89","Toebehoren > Gootstukken","","eigen-bezorging","https://www.lumadak.nl/wp-content/uploads/fakro/gootstuk-ezv-78x118.jpg","7"
"","simple","FAK-EZV-114118","Fakro Origineel Gootstuk EZV 114×118","1","0","visible","Gootstuk passend bij de grotere dakraammaten.","Gootstuk passend bij de grotere dakraammaten. Aluminium, weerbestendig, jarenlang lekvrij.","taxable","1","","0","0","","","","","1","","","99","Toebehoren > Gootstukken","","eigen-bezorging","https://www.lumadak.nl/wp-content/uploads/fakro/gootstuk-ezv-114x118.jpg","8"
"","simple","FAK-EKB-SET","Fakro EKB Aansluitprofielenset","1","0","visible","Set EKB-profielen voor wie geen origineel gootstuk gebruikt.","Set EKB-profielen voor wie geen origineel gootstuk gebruikt. Zorgt voor een waterdichte aansluiting.","taxable","1","","0","0","","","","","1","","","64","Toebehoren > Aansluiting","","eigen-bezorging","https://www.lumadak.nl/wp-content/uploads/fakro/ekb-profielen.jpg","9"
"","simple","FAK-XDP-ISO","Fakro XDP Isolatieset","1","0","visible","Energiebesparende isolatie- en aansluitset rondom het dakraam.","Energiebesparende isolatie- en aansluitset rondom het dakraam. Verbetert de totale isolatiewaarde.","taxable","1","","0","0","","","","","1","","72","85","Toebehoren > Aansluiting","","eigen-bezorging","https://www.lumadak.nl/wp-content/uploads/fakro/xdp-isolatieset.jpg","10"
"","simple","FAK-ZST-14","Fakro ZST Telescoopstang 1.4m","1","0","visible","Bedieningsstang voor hoog geplaatste dakramen.","Bedieningsstang voor hoog geplaatste dakramen. Uitschuifbaar aluminium, eenvoudig openen en sluiten.","taxable","1","","0","0","","","","","1","","","39","Toebehoren > Bediening","","eigen-bezorging","https://www.lumadak.nl/wp-content/uploads/fakro/zst-telescoopstang.jpg","11"
"","simple","FAK-ARF-78118","Fakro ARF Verduisterend Rolgordijn 78×118","1","0","visible","Origineel Fakro binnenrolgordijn, 100% verduisterend.","Origineel Fakro binnenrolgordijn, 100% verduisterend. Klikt direct in het kozijn — zelf te plaatsen.","taxable","1","","0","0","","","","","1","","","69","Zonwering > Rolgordijnen","Populair","eigen-bezorging","https://www.lumadak.nl/wp-content/uploads/fakro/arf-rolgordijn-78x118.jpg","12"
"","simple","FAK-AMZ-78118","Fakro AMZ Buitenzonwering 78×118","1","0","visible","Hittewerend gaasscherm aan de buitenzijde.","Hittewerend gaasscherm aan de buitenzijde. Houdt warmte buiten en blijft toch doorzicht geven.","taxable","1","","0","0","","","","","1","","","119","Zonwering > Buitenzonwering","","eigen-bezorging","https://www.lumadak.nl/wp-content/uploads/fakro/amz-buitenzonwering-78x118.jpg","13"
"","simple","FAK-AJP-66118","Fakro AJP Plissérolgordijn 66×118","1","0","visible","Lichtdoorlatend plisségordijn voor zachte schaduw en privacy.","Lichtdoorlatend plisségordijn voor zachte schaduw en privacy. Strak en eenvoudig in bediening.","taxable","1","","0","0","","","","","1","","79","89","Zonwering > Rolgordijnen","","eigen-bezorging","https://www.lumadak.nl/wp-content/uploads/fakro/ajp-plisse-66x118.jpg","14"
"","simple","FAK-DXF-60-60","Fakro DXF Plat-dakraam 60×60 (vast)","1","0","visible","Niet-openend plat-dakraam met vlakke glasunit. Brengt daglicht in donkere ruimtes.","Niet-openend plat-dakraam met vlakke glasunit en drievoudige beglazing. Brengt daglicht in donkere ruimtes zonder ventilatiefunctie. Geschikt voor platte daken vanaf 2 graden helling. Passieve U-waarde van circa 0,64 W/m²K.","taxable","1","","0","0","","","","","1","","","649","Dakramen > Platte daken","Daglicht","eigen-bezorging","https://www.lumadak.nl/wp-content/uploads/fakro/dxf-60x60.jpg","15"
"","simple","FAK-DMF-90-90","Fakro DMF Plat-dakraam 90×90 (handbediend)","1","1","visible","Handbediend plat-dakraam met meegeleverde ZSD-bedieningsstang. Vleugel kantelt 30 cm.","Handbediend plat-dakraam met meegeleverde ZSD-bedieningsstang. Vleugel kantelt 30 cm voor goede ventilatie. Het meest gekozen plat-dakraam dankzij de balans tussen prijs en functionaliteit. Drievoudige passieve beglazing.","taxable","1","","0","0","","","","","1","","","1149","Dakramen > Platte daken","Populair","eigen-bezorging","https://www.lumadak.nl/wp-content/uploads/fakro/dmf-90x90.jpg","16"
"","simple","FAK-DEC-100-100","Fakro DEC Plat-dakraam 100×100 met koepel","1","1","visible","Elektrisch openend plat-dakraam met polycarbonaat koepel en draadloze Z-Wave bediening.","Elektrisch openend plat-dakraam met polycarbonaat koepel, bediend via draadloze Z-Wave afstandsbediening. Vleugel kantelt 15 cm. Hoogste slagvastheidsklasse SB 1200 volgens EN 1873. Voor wie het allerbeste daglicht én comfort wil.","taxable","1","","0","0","","","","","1","","","2149","Dakramen > Platte daken","Premium","eigen-bezorging","https://www.lumadak.nl/wp-content/uploads/fakro/dec-100x100.jpg","17"
